It Bench1 Bench2
231 28846.5073115 3388.4153245
232 29095.5915735 3410.8739945
233 29347.2707750 3432.7202930
234 29600.2502345 3454.9169015
235 29855.3220565 3476.8456340
236 30110.7596280 3499.0568880
237 30368.3573370 3521.3599175
238 30628.0646530 3543.7835550
239 30883.8299855 3566.1656790
240 31146.7019715 3588.8529835
241 31407.7805945 3611.2591205
242 31671.5232160 3633.8542810
243 31937.5489140 3656.6741350
244 32200.9761155 3679.5799745
245 32467.8449855 3702.5652280
246 32736.5493775 3725.6605710
247 33005.4766135 3748.7337655
248 33272.5025205 3771.5970625
249 33540.4860065 3794.5863275
250 33813.8610860 3817.2272080
251 34086.0035240 3840.3923500
252 34357.0445165 3863.6445400
253 34630.8021275 3886.7233930
254 34906.6656305 3909.7971055
255 35183.1994675 3933.0010415
256 35459.9445240 3956.0349805
257 35738.4097650 3979.2081750
258 36017.8852985 4002.1895135
259 36299.7532095 4025.6020070
260 36582.3846605 4048.8504970
261 36865.0642135 4071.9630925
262 37150.2695775 4095.5146945
263 37436.1881735 4119.2124200
264 37725.0708475 4143.1134870
265 38012.0276515 4166.1807840
266 38306.0634705 4190.2522675
267 38595.3968620 4214.0042455
268 38883.0899965 4237.9903830
269 39177.5574265 4261.7975625
270 39472.8661075 4285.8885850
271 39765.8690755 4309.5917280
272 40060.3620175 4333.3535825
273 40358.4161330 4357.2669875
274 40657.2043960 4381.6019925
275 40957.1489915 4405.7858705
276 41257.7143775 4430.3599130
277 41556.2562395 4454.1440190
278 41856.5395975 4478.0183275
279 42155.7438395 4502.2611930
280 42459.2747545 4526.4797985
281 42764.6078890 4550.5699265
282 43071.5939125 4574.9994040
283 43380.1392410 4599.7035670
284 43686.5390440 4624.3283220
285 43995.0102070 4648.9425950
286 44304.4069055 4673.5508230
287 44617.3344275 4698.0283985
288 44928.2459900 4723.0001520
289 45241.3850835 4747.5804125
290 45555.8976215 4772.2339220
291 45869.6602295 4797.1841415
292 46185.4112125 4821.8806275
293 46504.0969390 4846.9385320
294 46818.9939285 4871.8330955
295 47138.5375425 4896.8312830
296 47458.7715910 4921.4655165
297 47779.2198845 4946.6796265
298 48101.7280445 4971.7576340
299 48429.1445165 4997.1223735
300 48755.9822645 5023.0847020
301 49080.0323775 5047.8704795
302 49409.0341660 5073.2282525
303 49737.8926200 5098.8555105
304 50063.9882045 5123.8641515
305 50395.2781570 5148.7116815
306 50724.8144290 5174.3663925
307 51055.0493410 5199.2326915
308 51387.5201450 5224.6130370
309 51719.2107100 5250.3326140
310 52054.8041755 5275.7365755
311 52391.6516665 5301.2875595
312 52730.8888790 5326.9105890
313 53069.5292615 5352.5341885
314 53411.6915505 5378.6543345
315 53750.9660150 5404.2128920
316 54096.0144990 5429.8979300
317 54441.7070075 5455.9764790
318 54784.8877440 5482.3592015
319 55132.9473270 5508.4355200
320 55482.5516915 5534.4724000
321 55827.7133490 5559.8377185
322 56174.4940640 5585.8436525
323 56524.8633475 5611.8908270
324 56880.2790940 5637.9920420
325 57230.0439600 5664.0361955
326 57583.2256595 5690.4574945
327 57938.3847110 5716.7782095
328 58295.6982305 5742.9861470
329 58652.0847895 5769.2812830
330 59010.3281950 5795.8019755
331 59367.5195475 5821.9835900
332 59726.5680260 5848.8073115
333 60085.3303790 5874.9058600
334 60442.2245445 5901.0008510
335 60801.2794690 5927.7140105
336 61163.7255125 5953.8866825
337 61521.7166940 5980.2730380
338 61886.2072975 6006.7427350
339 62249.2401960 6033.0825060
340 62614.6081855 6059.3471055
341 62980.5120515 6085.6897915
342 63345.1190690 6112.2966255
343 63712.3788530 6139.3638890
344 64080.6327405 6166.2269270
345 64447.1735595 6193.1890745
346 64818.1235825 6219.8714495
347 65192.5143315 6246.8344230
348 65568.0285040 6273.9783785
349 65943.9511030 6300.9660990
350 66322.0259840 6327.8007370
351 66699.5540110 6354.9971620
352 67082.1434925 6381.9859970
353 67460.7716780 6408.9639265
354 67839.7875460 6436.4293460
355 68218.7658085 6463.0500060
356 68600.6212240 6490.3820290
357 68985.7143595 6517.7272090
358 69368.5660010 6545.3256840
359 69752.3352095 6572.5794220
360 70135.1002840 6599.5856140
361 70523.1516095 6626.9283905
362 70911.5696430 6654.1213815
363 71299.2792325 6681.6831205
364 71689.3481880 6709.2535265
365 72077.7755295 6736.8564830
366 72473.0243695 6764.8713500
367 72868.4870840 6792.6372170
368 73262.8465375 6820.0996165
369 73657.9011380 6847.7726405
370 74051.2004245 6875.0635430
371 74449.1797930 6902.4481665
372 74845.3710085 6930.3300885
373 75241.4532500 6958.4879490
374 75635.0024640 6985.9750525
375 76031.3610210 7013.5451315
376 76428.9805640 7041.4376640
377 76834.5562510 7069.5091345
378 77238.7526895 7097.2464170
379 77641.0376720 7125.1756150
380 78048.1163575 7152.9627250
381 78456.3836465 7180.9627210
382 78866.1145475 7209.2563195
383 79272.9502835 7237.1261770
384 79683.6281115 7264.8510335
385 80093.9724315 7293.2560640
386 80505.4770890 7321.4415210
387 80920.3709905 7349.6052740
388 81336.7800820 7378.3454025
389 81750.8414955 7406.6723825
390 82170.3362470 7435.1196425
391 82588.4267955 7463.2526280
392 83006.8847080 7491.4189475
393 83429.7963770 7520.0189620
394 83853.8586205 7548.5983515
395 84274.9782890 7577.0683440
396 84700.5900955 7606.1236140
397 85122.2490565 7634.7570060
398 85552.0269175 7663.3390600
399 85980.4457375 7692.5000595
400 86411.5239775 7721.2835240
401 86843.1415825 7750.4833325
402 87279.4312355 7779.6405555
403 87717.9366735 7809.4852835
404 88159.7696060 7838.5745365
405 88605.9552810 7867.8530195
406 89054.3386500 7897.7178935
407 89497.6808280 7927.1947425
408 89943.5752160 7956.9189510
409 90397.1144930 7987.3843660
410 90844.6593340 8017.2374815
411 91297.3740010 8047.4345330
412 91751.9762580 8077.1096345
413 92205.3682315 8107.4523075
414 92660.7131485 8137.7285450
415 93120.4094410 8167.7142880
416 93579.8964540 8198.1186045
417 94041.7529505 8228.0029440
418 94503.6481695 8258.7810645
419 94960.8435765 8288.9688925
420 95426.9450895 8318.9793530
421 95892.7239555 8349.5225580
422 96357.1150740 8380.4766795
423 96826.1371455 8410.3987715
424 97291.5068360 8440.8099810
425 97757.2199410 8471.7163990
426 98227.0704565 8502.4620940
427 98697.5095035 8532.9116175
428 99170.7177745 8563.4496145
429 99646.1301220 8593.8444105
430 100121.6888520 8624.3698465
431 100595.8301645 8654.7677420
432 101073.7157290 8685.1034455
433 101550.6410850 8715.6913975
434 102031.2631495 8746.4972020
435 102510.6369555 8777.3138920
436 102994.3155495 8808.4240390
437 103474.4778075 8839.3920520
438 103954.3779395 8870.0582220
439 104436.8433320 8900.9274575
440 104922.2845525 8932.4841425
441 105405.4658530 8963.2766660
442 105889.8029595 8994.5118300
443 106377.8230320 9025.3326690
444 106863.0310145 9056.6191420
445 107350.9158240 9088.0234535
446 107845.1096235 9119.5231945
447 108336.7066120 9151.0011775
448 108828.6362475 9182.2806360
449 109323.4372845 9213.3678355
450 109822.4555315 9244.8786140
451 110318.9132920 9275.8384920
452 110818.5771155 9306.9822600
453 111318.0961005 9338.1776175
454 111815.7862540 9369.8545160
455 112315.1052590 9401.4325015
456 112816.6896435 9433.2109775
457 113318.4356975 9464.7259075
458 113821.4610320 9496.0639885
459 114325.5411640 9527.7700155
460 114830.7339025 9559.8396835
461 115339.2145875 9591.7700735
462 115849.8615810 9623.3996110
463 116359.9353700 9655.4264515
464 116872.6287875 9687.4689515
465 117382.3908640 9719.4935535
466 117889.5587740 9751.0274815
467 118404.1213410 9782.7505035
468 118913.8132500 9814.5024685
469 119428.3999480 9846.2381580
470 119943.5888760 9878.5870935
471 120457.9999965 9910.6054280
472 120975.4047180 9942.8503110
473 121494.4995905 9975.0778730
474 122013.8038195 10007.2790770
475 122535.6964755 10039.5484605
476 123058.3564560 10071.3885820
477 123581.6089935 10103.1403710
478 124106.3742335 10135.8719360
479 124627.3383015 10168.0542075
480 125153.7576285 10200.8093120
481 125680.6330130 10233.1510770
482 126209.6670030 10265.9498565
483 126739.3017135 10297.9659045
484 127271.5286915 10330.1115170
485 127804.2454470 10362.4975480
486 128339.4507475 10395.5020070
487 128871.7894675 10427.5242525
488 129405.0725665 10459.8773345
489 129944.4105410 10492.7989935
490 130480.4032170 10525.9155515
491 131022.4339280 10559.1413140
492 131561.3847635 10592.0137125
493 132102.5691045 10624.7184780
494 132643.7753715 10657.0701005
495 133176.9952530 10689.3911710
496 133716.1217600 10721.7469210
497 134252.7549050 10754.5356505
498 134796.6454800 10787.7772310
499 135341.4890575 10820.7941875
500 135883.2960370 10853.7064765
501 136430.9679630 10886.4354185
502 136981.3814085 10919.6388975
503 137530.9833275 10952.5000120
504 138081.0368965 10986.0472700
505 138630.9973680 11019.5029205
506 139181.4448340 11052.1493855
507 139735.8293410 11085.5085160
508 140293.8250065 11118.4283430
509 140852.0832935 11151.8778990
510 141410.5872545 11185.2270515
511 141973.2133790 11218.1808425
