It Bench1 Bench2
265 0.506023 0.043442
266 0.506192 0.044188
267 0.502841 0.043281
268 0.511053 0.043797
269 0.505226 0.043733
270 0.509267 0.043837
271 0.509996 0.043792
272 0.519123 0.043418
273 0.526754 0.042925
274 0.509787 0.043380
275 0.507798 0.043473
276 0.501274 0.043437
277 0.516611 0.043859
278 0.522294 0.043624
279 0.521808 0.043470
280 0.527381 0.042785
281 0.531923 0.043864
282 0.529751 0.043085
283 0.514326 0.043829
284 0.522648 0.043719
285 0.521656 0.044033
286 0.526977 0.043083
287 0.523475 0.043001
288 0.528186 0.043943
289 0.526025 0.043431
290 0.519223 0.043032
291 0.524668 0.043412
292 0.529701 0.043539
293 0.523488 0.043538
294 0.543851 0.043557
295 0.536790 0.043613
296 0.535905 0.043462
297 0.540098 0.043545
298 0.537268 0.042830
299 0.534703 0.042799
300 0.525798 0.042950
301 0.534092 0.043489
302 0.535913 0.042908
303 0.531848 0.043130
304 0.536814 0.043128
305 0.543387 0.043604
306 0.550375 0.042643
307 0.538560 0.043488
308 0.540101 0.043313
309 0.545719 0.043066
310 0.547195 0.043222
311 0.547731 0.043534
312 0.548622 0.043219
313 0.530410 0.043156
314 0.549007 0.043371
315 0.537274 0.043864
316 0.544157 0.043629
317 0.531458 0.043375
318 0.541639 0.043567
319 0.549328 0.043133
320 0.558709 0.043359
321 0.546370 0.043586
322 0.551121 0.042936
323 0.562975 0.043244
324 0.565011 0.043509
325 0.546628 0.043449
326 0.556360 0.043390
327 0.562981 0.043271
328 0.556660 0.043271
329 0.560634 0.043550
330 0.554322 0.043239
331 0.559929 0.043039
332 0.552586 0.043430
333 0.560491 0.043350
334 0.566204 0.043399
335 0.556666 0.043072
336 0.561437 0.042783
337 0.556368 0.042754
338 0.563841 0.043376
339 0.566459 0.043045
340 0.572196 0.043201
341 0.569225 0.042902
342 0.568811 0.043437
343 0.573609 0.042901
344 0.568154 0.043404
345 0.568297 0.043223
346 0.570836 0.043166
347 0.565565 0.043609
348 0.562408 0.043753
349 0.581039 0.043004
350 0.573395 0.043320
351 0.577915 0.042548
352 0.567071 0.042827
353 0.579045 0.043134
354 0.584332 0.042721
355 0.580482 0.042841
356 0.576963 0.042990
357 0.578355 0.043573
358 0.568147 0.042841
359 0.560594 0.043307
360 0.588424 0.043592
361 0.596579 0.043052
362 0.587389 0.042871
363 0.580486 0.043406
364 0.587903 0.042521
365 0.594650 0.042963
366 0.581284 0.042785
367 0.593814 0.043549
368 0.596637 0.043020
369 0.604203 0.042964
370 0.593758 0.043153
371 0.587959 0.042534
372 0.591040 0.042901
373 0.589468 0.042976
374 0.599874 0.043126
375 0.593751 0.042755
376 0.584428 0.042855
377 0.598064 0.043288
378 0.598697 0.043004
379 0.590184 0.042497
380 0.587164 0.042848
381 0.593282 0.042698
382 0.605445 0.043448
383 0.588961 0.043657
384 0.604174 0.043418
385 0.601101 0.043160
386 0.609389 0.043241
387 0.592944 0.043145
388 0.593909 0.042725
389 0.606218 0.043019
390 0.619473 0.042955
391 0.605271 0.043165
392 0.596519 0.042974
393 0.611321 0.042998
394 0.611508 0.042685
395 0.604801 0.042946
396 0.606202 0.043229
397 0.607956 0.043511
398 0.605285 0.042577
399 0.613920 0.043117
400 0.606256 0.042564
401 0.609925 0.043201
402 0.605813 0.042912
403 0.602016 0.042660
404 0.610856 0.042135
405 0.615577 0.042510
406 0.600991 0.042984
407 0.620605 0.043369
408 0.608637 0.042660
409 0.613827 0.043079
410 0.631243 0.042730
411 0.618156 0.043208
412 0.618378 0.043233
413 0.618027 0.043012
414 0.626492 0.043483
415 0.620816 0.043367
416 0.631348 0.042687
417 0.628322 0.042981
418 0.632284 0.042810
419 0.629777 0.043138
420 0.612027 0.042801
421 0.628989 0.042557
422 0.635860 0.042796
423 0.626516 0.043617
424 0.620539 0.043298
425 0.627840 0.042779
426 0.631310 0.043033
427 0.639873 0.042968
428 0.629695 0.042966
429 0.646961 0.043168
430 0.643243 0.043181
431 0.627031 0.043378
432 0.634945 0.043221
433 0.634932 0.043274
434 0.640378 0.042948
435 0.638304 0.043198
436 0.626746 0.043356
437 0.638830 0.042696
438 0.633178 0.042342
439 0.638291 0.042676
440 0.632552 0.042472
441 0.640941 0.043022
442 0.653363 0.043408
443 0.642310 0.043030
444 0.657146 0.044216
445 0.642626 0.043281
446 0.655582 0.042680
447 0.644998 0.042890
448 0.633409 0.043554
449 0.646903 0.043337
