seconds 
0.391693
0.387595
0.378099
0.380087
0.380453
0.382049
0.383349
0.379735
0.378923
0.380408
0.381893
0.378339
0.378930
0.381167
0.377533
0.380107
0.383925
0.385722
0.388688
0.390295
0.388661
0.389845
0.390981
0.384185
0.386169
0.383263
0.379914
0.376649
0.381670
0.376834
0.378356
0.378009
0.379730
0.381002
0.378657
0.379606
0.377541
0.381010
0.381915
0.378782
0.378924
0.378525
0.380106
0.380617
0.380009
0.379895
0.377790
0.375341
0.377468
0.381579
0.379632
0.380662
0.381295
0.471089
0.457400
0.453467
0.460417
0.464942
0.393351
0.384700
0.378175
0.380159
0.376405
0.382213
0.380183
0.378042
0.377666
0.376648
0.377891
0.380611
0.378530
0.378176
0.380794
0.380699
0.382175
0.377650
0.378021
0.378100
0.376255
0.379694
0.379956
0.383065
0.379592
0.381476
0.379772
0.381191
0.381718
0.381383
0.378868
0.379197
0.376073
0.380922
0.380546
0.378422
0.378833
0.379135
0.378758
0.380146
0.378682
0.377561
